"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
35110.46255769255,134202.17626456975,366695.9294384165,-125312.50104048883,-465687.9395937315,-64617.63456516193,119609.50693870336,7.118085153438594e-9,7.118085153438609e-9,1.4889251025954498e-23,"2.0917494951239504e-15"
261455.0371223421,181031.43029754295,112995.2718860544,-198269.11376358528,-507480.8756560211,-90281.31062836939,240549.5607420361,4.2225522514969e-10,4.222552251496899e-10,-1.0339757656912846e-25,"2.448698569271082e-16"
114729.15628516578,120448.4193869996,422697.95867200266,-238138.2115126303,-73667.85496319542,-636079.7514295152,290010.2835611734,1.5695607414863158e-10,1.5695607414863186e-10,2.8434333556510326e-25,"1.811610905200395e-15"
87426.99113645458,116009.17380719184,416861.01683091786,-165998.83252150888,-140051.0517214648,-522625.95653942524,208378.6590078344,3.723083722047327e-10,3.7230837220473573e-10,3.0502285087892896e-24,"8.19274756225987e-15"
329302.41070892673,50969.26558079012,314938.98356603365,-133866.00309330586,-570707.305740596,-287929.99591889436,297292.64489704574,3.925128505292342e-10,3.925128505292587e-10,2.4505225646883445e-23,"6.243165189073669e-14"
119958.63245609075,134976.26524754456,233382.93691284407,-81200.75129095455,-467812.9435884456,-108624.22780138529,169320.08806430607,1.4121825904174439e-9,1.4121825904174463e-9,2.481541837659083e-24,"1.7572386563167658e-15"
63801.178093443494,220205.7268074782,91112.92001496944,-190103.9548999785,-119713.00641368804,-155046.91126980595,89744.04766758133,1.726293501233274e-9,1.7262935012332691e-9,-4.963083675318166e-24,"2.874994125722254e-15"
36474.55497628535,474665.97387171106,99786.83031989129,-611854.4062299638,-178158.39474525937,-140847.18643356525,319932.6282409007,2.027635842994189e-10,2.0276358429941853e-10,-3.618915179919496e-25,"1.784795426862982e-15"
161363.44727731842,177772.9196595564,365271.99479859404,-214709.22061369603,-379149.95214523195,-373503.0645043668,262953.87552782596,1.101353697290855e-10,1.1013536972909036e-10,4.8596860987490376e-24,"4.4124663227651883e-14"
144750.54574075498,405121.7243297106,32991.94908430739,-577432.3743488287,-40449.64451084833,-144062.98099752233,179080.7807024263,2.6714146525329323e-10,2.6714146525329256e-10,-6.72084247699335e-25,"2.5158364953268887e-15"
279308.73140241683,160384.31969322445,226672.72904593148,-250378.80966733646,-387681.451819681,-124905.98764032862,96600.46898577324,5.320855198802081e-10,5.320855198802036e-10,-4.446095792472524e-24,"8.355979680622586e-15"
74790.11147403649,179399.65887275772,161395.92338794144,-64305.48292052167,-159271.208692369,-448723.01013998734,256714.00801814234,5.986647077022669e-10,5.986647077022671e-10,2.0679515313825692e-25,"3.454273326583033e-16"
79256.89969482642,265170.708808006,40948.571148265226,-516046.71558355587,-105009.94006091962,-37096.44947085327,272776.92546423094,1.031565498154667e-9,1.0315654981546678e-9,8.271806125530277e-25,"8.01869211439063e-16"
62948.22745101985,140515.71444944834,324028.14818938484,-275116.0947948503,-104881.27113952211,-510699.09423837974,363204.37008289876,1.723912625787721e-10,1.7239126257877223e-10,1.2924697071141057e-25,"7.497304026783412e-16"
108498.76585582364,91721.54458159606,421363.8419016672,-229364.17760587906,-307665.21882704826,-354897.3306287891,270342.5747226296,3.031720339853432e-10,3.0317203398534414e-10,9.305781891221561e-25,"3.069472394565067e-15"
191926.11904433992,213470.08707986912,131670.7774009763,-89165.98162192518,-180074.09772152072,-478880.8444813109,211053.94029957184,4.0741379203696294e-10,4.0741379203696216e-10,-7.754818242684634e-25,"1.9034255575670526e-15"
