s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
1.33677250717878458e+05,3.22586287948105310e+04,2.05110947035922698e+05,-1.89688444698329578e+05,-7.43267369821069296e+04,-3.19903133872631588e+05,2.12871489004456409e+05,1.80273391368352283e-09
1.39701914818359917e+05,3.95896795112547697e+05,4.46962667808298138e+04,-1.14193074746463943e+05,-2.24663463706545910e+05,-4.17402179361271847e+05,1.75963741102544183e+05,5.03849005013353368e-10
3.30713502687209344e+05,1.38070880929233623e+05,1.73434540858067194e+05,-4.78902296012460647e+04,-6.01441579045769759e+05,-2.43515308007092157e+05,2.50628192179597972e+05,7.03205084688377819e-10
1.17777080144501204e+05,1.18473358414251852e+05,4.88415908330871258e+05,-2.37660791863107966e+05,-3.57695389640402398e+05,-3.61056031852096377e+05,2.31745866465982050e+05,2.33540773232043500e-10
5.50243553623854823e+04,7.67582366621922265e+04,3.64812263015079137e+05,-1.26603231746423524e+05,-6.93755922627510881e+04,-4.59124850487443386e+05,1.58508819456961093e+05,1.54513371100563222e-09
2.39592448082596384e+04,1.01092361509148221e+05,1.34302043170291145e+05,-1.59743696263888676e+05,-2.67767854621139879e+05,-3.70347363998877263e+04,2.05192637797217147e+05,1.58638212139641172e-08
2.43796835533200792e+05,1.20429931175198435e+05,9.01308463392575795e+04,-1.89085032884569315e+05,-4.03835462342576589e+05,-2.58752093580737186e+05,3.97314975760226429e+05,2.94025121618825383e-10
6.50611601734241340e+04,3.33724839586828952e+05,7.37312571958771441e+04,-2.03246088368365658e+05,-1.17372202651527856e+05,-3.90510960593302094e+05,2.38611994657065399e+05,2.32200632227186874e-10
3.19471210318938131e+05,1.40036873781575414e+05,9.79126654215541785e+04,-5.49705196636564098e+05,-8.38804545930329768e+04,-8.87794259849758964e+04,1.64944327692505263e+05,6.17613506881007990e-10
5.77499745670381089e+04,2.94855890568372211e+05,6.37178762861853174e+04,-1.44834017924759246e+05,-1.35854392040475621e+05,-4.30500670517656836e+05,2.94865339061296079e+05,3.01040687266777345e-10
1.47777366123334592e+05,1.16036353022547904e+05,2.45491338840291020e+05,-1.31782010900202848e+05,-5.16151857053307293e+05,-4.26255413228639518e+04,1.81254351290200691e+05,2.12677858422153265e-09
